time,open,high,low,close,volume
2024-03-22,46.91,47.64,46.39,47.05,1680649
2024-03-25,47.05,47.86,46.39,46.61,1017832
2024-03-26,46.61,47.35,46.47,47.05,705759
2024-03-27,47.35,47.35,46.76,46.91,640155
2024-03-28,47.13,47.2,46.76,46.91,516396
2024-03-29,46.91,47.42,46.69,46.83,884521
2024-04-01,46.83,47.13,45.95,46.47,1105427
2024-04-02,46.61,47.05,46.25,47.05,987871
2024-04-03,47.13,47.79,46.61,46.76,1182227
2024-04-04,46.61,46.76,46.1,46.17,943695
2024-04-05,46.1,46.47,45.95,45.95,620751
2024-04-08,45.81,46.03,45.36,45.88,760638
2024-04-09,46.03,46.25,45.88,46.1,486954
2024-04-10,46.25,46.39,45.95,45.95,560158
2024-04-11,45.51,46.17,45.51,46.17,849092
2024-04-12,46.62,46.92,46.25,46.84,641959
2024-04-15,46.4,46.84,45.35,45.43,1364392
2024-04-16,45.58,45.72,44.53,45.05,1127709
2024-04-17,45.35,45.65,44.76,44.76,676496
2024-04-19,44.08,44.76,43.04,43.26,1577895
2024-04-22,43.49,44.46,43.41,43.93,880026
2024-04-23,43.71,44.08,43.41,43.56,816436
2024-04-24,43.93,45.28,43.79,44.98,1084738
2024-04-25,44.9,44.9,44.23,44.76,615280
2024-04-26,44.61,46.1,44.23,45.95,1228590
2024-05-02,45.65,47.89,45.5,47.89,2466357
2024-05-03,47.89,49.16,47.89,49.16,3665401
2024-05-06,49.45,49.45,48.56,48.71,1613605
2024-05-07,49.16,49.16,48.34,48.48,1419900
2024-05-08,48.93,49.68,48.26,49.53,3578672
2024-05-09,50.2,50.35,49.08,49.23,1332458
2024-05-10,49.45,49.6,48.48,49.23,1203649
2024-05-13,49.68,50.72,49.16,49.98,1528399
2024-05-14,50.5,50.5,49.53,49.68,592918
2024-05-15,49.68,50.13,49.53,49.68,1107509
2024-05-16,50.27,51.47,49.75,51.17,1738682
2024-05-17,51.39,51.47,50.72,50.72,1483345
2024-05-20,51.02,51.17,50.05,50.35,1281576
2024-05-21,51.29,51.38,50.35,50.78,1070162
2024-05-22,50.69,51.29,50.52,50.78,668317
2024-05-23,50.69,52.92,50.27,52.75,2223278
2024-05-24,52.84,52.84,51.12,52.15,1416788
2024-05-27,52.32,53.35,51.9,53.35,1002470
2024-05-28,53.61,54.47,53.18,54.3,1048638
2024-05-29,54.47,54.47,53.01,53.18,754618
2024-05-30,52.75,53.18,52.41,53.18,1136145
2024-05-31,53.53,53.87,52.75,53.44,732168
2024-06-03,53.61,54.21,53.53,54.04,760418
2024-06-04,54.04,54.13,53.44,53.61,463189
2024-06-05,53.44,53.95,53.44,53.7,681853
2024-06-06,53.7,54.21,53.18,53.18,565629
2024-06-07,53.27,53.7,52.75,53.18,460634
2024-06-10,53.27,54.3,53.18,53.35,644881
2024-06-11,53.78,54.3,53.18,53.18,611624
2024-06-12,53.44,54.47,53.18,54.47,1322762
2024-06-13,55.67,55.67,54.64,54.9,898465
2024-06-14,54.98,55.07,52.75,52.75,1217305
2024-06-17,52.75,53.61,52.67,52.84,819150
2024-06-18,52.92,54.73,52.84,54.47,900479
2024-06-19,54.38,54.64,53.78,54.64,672971
2024-06-20,54.47,57.13,54.47,56.36,1600113
2024-06-21,57.39,57.39,55.33,55.33,938085
2024-06-24,55.41,55.93,53.18,54.55,1144846
2024-06-25,54.55,56.18,54.55,54.98,766216
2024-06-26,55.58,55.58,53.95,54.9,973589
2024-06-27,54.9,55.67,54.21,54.9,806900
2024-06-28,54.47,54.55,53.7,53.7,1165698
2024-07-01,53.7,54.55,53.01,54.47,1044666
2024-07-02,54.73,54.73,54.04,54.21,905177
2024-07-03,54.38,54.9,54.04,54.9,1012861
2024-07-04,54.9,56.18,54.64,56.01,1481030
2024-07-05,56.44,56.44,54.9,55.93,838116
2024-07-08,56.61,57.3,56.27,57.04,1684807
2024-07-09,57.47,60.04,56.44,59.62,2165255
2024-07-10,60.39,62.02,59.27,61.07,2412860
2024-07-11,61.16,62.87,60.9,61.33,1711493
2024-07-12,61.07,61.25,60.3,60.99,1140145
2024-07-15,60.99,62.02,60.39,61.76,1226928
2024-07-16,61.76,63.39,61.33,63.39,1126867
2024-07-17,63.48,64.93,59.19,61.93,2125888
2024-07-18,61.93,62.27,59.7,61.76,1609329
2024-07-19,61.76,61.76,60.3,60.3,930742
2024-07-22,60.04,60.3,58.76,58.76,1539493
2024-07-23,58.67,60.04,58.41,58.59,1222031
2024-07-24,58.33,59.19,56.61,59.19,1138107
2024-07-25,59.01,60.73,58.67,60.47,1050377
2024-07-26,60.47,61.33,60.39,60.9,1053163
2024-07-29,61.25,61.67,60.3,61.33,570790
2024-07-30,60.9,61.07,58.76,60.47,2000914
2024-07-31,59.19,59.7,58.16,59.7,2042585
2024-08-01,59.53,59.53,56.61,58.24,1598854
2024-08-02,56.44,60.3,56.44,60.3,1562939
2024-08-05,59.01,59.01,56.1,56.1,1152417
2024-08-06,56.18,57.56,55.93,57.21,662287
2024-08-07,57.47,57.64,56.44,56.44,427579
2024-08-08,56.44,57.73,56.36,56.87,486844
2024-08-09,57.64,57.73,57.13,57.47,545300
2024-08-12,57.47,59.62,57.47,59.1,822176
2024-08-13,59.01,59.19,57.47,58.16,727785
2024-08-14,58.76,59.62,57.9,59.19,691646
2024-08-15,59.19,59.27,57.81,57.9,575484
2024-08-16,57.99,59.96,57.99,59.96,1121059
2024-08-19,59.96,61.16,59.7,60.3,968709
2024-08-20,60.3,60.39,59.44,59.96,738417
2024-08-21,60.22,60.64,59.62,60.13,747580
2024-08-22,60.56,60.56,59.7,59.79,604774
2024-08-23,59.62,60.64,59.62,60.56,888460
2024-08-26,61.16,61.42,59.53,60.04,678177
2024-08-27,59.7,60.04,58.67,58.84,694135
2024-08-28,58.93,59.19,58.5,58.84,531151
2024-08-29,58.76,59.19,58.67,59.19,329921
2024-08-30,58.93,59.36,58.76,58.84,342819
2024-09-04,58.33,58.41,57.47,57.47,771476
2024-09-05,57.56,57.9,55.84,56.01,1122537
2024-09-06,55.76,56.53,54.73,56.27,934374
2024-09-09,56.36,57.3,56.27,56.7,510059
2024-09-10,56.87,57.04,55.67,55.76,656484
2024-09-11,55.76,56.61,55.67,55.84,493269
2024-09-12,56.53,56.53,55.84,56.36,281840
2024-09-13,56.36,56.61,56.18,56.36,261429
2024-09-16,56.44,56.44,55.5,55.5,567485
2024-09-17,55.76,55.76,54.98,55.67,834652
2024-09-18,55.76,56.61,55.76,56.44,638386
2024-09-19,56.61,57.04,56.44,56.7,478001
2024-09-20,57.04,57.64,57.04,57.13,846625
2024-09-23,57.3,57.47,57.13,57.21,492915
2024-09-24,57.21,57.47,56.96,57.13,459452
2024-09-25,57.39,58.16,57.13,57.9,689545
2024-09-26,58.24,58.5,57.81,57.81,567073
2024-09-27,57.9,58.33,57.13,57.21,483680
2024-09-30,56.96,57.39,56.78,57.13,369025
2024-10-01,57.21,57.64,57.13,57.21,444815
2024-10-02,56.96,58.16,56.96,57.81,674129
2024-10-03,58.16,58.33,57.13,57.3,476916
2024-10-04,57.47,57.47,56.87,56.87,340230
2024-10-07,57.04,57.73,56.44,56.44,525314
2024-10-08,56.7,56.87,56.1,56.27,421215
2024-10-09,56.27,56.27,56.01,56.27,520281
2024-10-10,56.27,56.53,56.1,56.18,662405
2024-10-11,56.36,56.7,56.1,56.27,639222
2024-10-14,57.04,57.13,56.36,56.53,412849
2024-10-15,56.53,56.78,55.93,55.93,373611
2024-10-16,55.76,56.18,55.41,55.67,424100
2024-10-17,55.67,55.93,55.58,55.67,336606
2024-10-18,55.67,56.18,55.58,55.58,288718
2024-10-21,55.5,55.58,54.9,54.98,381578
2024-10-22,54.9,54.98,54.04,54.13,641849
2024-10-23,54.04,54.47,53.95,54.3,373224
2024-10-24,54.3,54.47,54.04,54.47,457866
2024-10-25,54.81,54.81,54.04,54.04,271438
2024-10-28,54.21,54.47,53.95,54.3,285878
2024-10-29,54.3,55.41,54.21,55.41,561516
2024-10-30,55.67,55.93,55.5,55.76,644230
2024-10-31,55.5,55.58,53.7,54.98,392046
2024-11-01,54.9,54.9,53.18,53.18,3433664
